序号,省份,地市,区县,生产经营场所地址,污水处理厂名称,运营单位,排污许可证编号,"设计处理能力
（万吨/日）","2019年实际处理
水量（万吨）"
57,北京市,市辖区,顺义区,赵全营镇板桥村,赵全营再生水厂,"北京科净源科技股
份有限公司顺义区
赵全营镇再生水厂",91110108802019598M001W,1.3,249
58,北京市,市辖区,房山区,"长阳镇葫芦垡村万
兴路86号","良工工业区污水处
理站","北京良工投资有限
责任公司",911101117629738373001Q,0.1,30
59,北京市,市辖区,延庆区,"八达岭镇东曹营村
西500米","八达岭镇污水处理
厂","北京龙庆首创水务
有限责任公司八达
岭污水厂",9111022909890391XQ004Z,0.45,69.39
60,北京市,市辖区,延庆区,"延庆镇西屯村西
500米",城西再生水厂,"北京龙庆首创水务
有限责任公司城西
再生水厂",9111022909890391XQ001Z,6,1373.81
61,北京市,市辖区,延庆区,"旧县镇盆窑村西
220米",旧县镇污水处理厂,"北京龙庆首创水务
有限责任公司旧县
污水处理厂",9111022909890391XQ003Q,0.15,8.47
62,北京市,市辖区,延庆区,"永宁镇西关村西南
角",永宁镇污水处理厂,"北京龙庆首创水务
有限责任公司永宁
污水处理厂",9111022909890391XQ002X,0.36,56.01
63,北京市,市辖区,怀柔区,"桥梓镇山立庄村南
怀九路交叉路口",桥梓污水处理厂,"北京桥梓水务有限
公司",91110116766771642N001R,0.24,29.74
64,北京市,市辖区,大兴区,"青云店镇高野路与
敬老院路交叉口西
南","北京市大兴区青云
店镇垡上污水处理
站","北京青云首创水务
有限公司",91110115MA01ECBP1D002R,0.1,36.29
65,北京市,市辖区,朝阳区,"来广营乡北苑东路
2号院",北苑污水处理厂,"北京清河北苑水务
有限公司-北苑污
水处理厂",91110105764201945K001U,4,549.72
66,北京市,市辖区,"门头沟
区","大台街道三孔桥公
交站东南100米","北京清源污水净化
有限公司-大台办
事处污水处理厂","北京清源污水净化
有限公司",911101090804521374006U,0.15,8.3
67,北京市,市辖区,"门头沟
区","军庄镇军庄口六环
桥附近","北京清源污水净化
有限公司-军庄镇
污水处理厂","北京清源污水净化
有限公司",911101090804521374002R,0.6,56.21
68,北京市,市辖区,"门头沟
区","妙峰山镇陇驾庄村
东口公交站下坡处","北京清源污水净化
有限公司-妙峰山
镇污水处理厂","北京清源污水净化
有限公司",911101090804521374005U,0.06,13.51
69,北京市,市辖区,"门头沟
区","潭柘寺镇鲁家滩村
桥头","北京清源污水净化
有限公司-潭柘寺
镇污水处理厂","北京清源污水净化
有限公司",911101090804521374001V,0.5,21.88
70,北京市,市辖区,"门头沟
区","王平镇韭园村村委
会韭园村东南桥洞
上面","北京清源污水净化
有限公司-王平镇
第二（韭园）污水
处理厂","北京清源污水净化
有限公司",911101090804521374007Q,0.05,2.36
71,北京市,市辖区,"门头沟
区","王平镇色树坟村委
会色树坟村煤矿下
方","北京清源污水净化
有限公司-王平镇
污水处理厂","北京清源污水净化
有限公司",911101090804521374004V,0.2,54.34
72,北京市,市辖区,"门头沟
区","斋堂镇东斋堂村供
电所对面","北京清斋首创水务
有限公司—北京市
门头沟区斋堂镇污
水处理厂","北京清斋首创水务
有限公司",91110109MA017MW34P002R,0.15,32.89
73,北京市,市辖区,"门头沟
区","清水镇达摩口车站
旁","北京清斋首创水务
有限责任公司—北
京市门头沟区清水
镇污水处理厂","北京清斋首创水务
有限责任公司",91110109MA017MW34P001Z,0.2,3.8
74,北京市,市辖区,平谷区,"东高村镇西高村村
西","平谷区东高村镇污
水处理厂","北京洳河水处理技
术有限公司—平谷
区东高村镇污水处
理厂",91110117061328384H005Y,0.4,44.03
75,北京市,市辖区,平谷区,刘家店镇政府西南,"平谷区刘家店镇污
水处理厂","北京洳河水处理技
术有限公司—平谷
区刘家店镇污水处
理厂",91110117061328384H002X,0.08,1.39
76,北京市,市辖区,平谷区,"马昌营镇密三路西
侧","平谷区马昌营镇污
水处理厂","北京洳河水处理技
术有限公司—平谷
区马昌营镇污水处
理厂",91110117061328384H004U,0.6,59.61
77,北京市,市辖区,平谷区,"马坊镇马坊工业区
东南角","平谷区马坊镇污水
处理厂","北京洳河水处理技
术有限公司—平谷
区马坊镇污水处理
厂",91110117061328384H006U,1.1,232.04
78,北京市,市辖区,平谷区,"峪口镇胡辛庄村委
会北100米","平谷区峪口镇胡辛
庄污水处理厂","北京洳河水处理技
术有限公司—平谷
区峪口镇胡辛庄污
水处理厂",91110117061328384H001U,0.15,25.48
79,北京市,市辖区,平谷区,"峪口镇中桥村北京
北内锻造有限公司
路北","平谷区峪口镇中桥
污水处理厂","北京洳河水处理技
术有限公司—平谷
区峪口镇中桥污水
处理厂",91110117061328384H003Z,0.1,23.78
80,北京市,市辖区,平谷区,"平谷镇赵各庄村西
南1号","平谷洳河污水处理
厂","北京洳河污水处理
有限公司",91110117681208607R001W,8,2420
81,北京市,市辖区,通州区,漷县镇漷县村,"通州区漷县镇污水
处理厂","北京圣氏投资集团
有限责任公司",91110000726341007T001R,1,23.75
82,北京市,市辖区,昌平区,"南口镇七间房村村
南","北京市昌平区水务
局南口地区污水处
理中心","北京市昌平区水务
局南口地区污水处
理中心",12110221686937454E001Q,2,190.74
83,北京市,市辖区,昌平区,"南口镇李流路和南
雁路交叉路口东南
侧","北京市昌平区水务
局南口地区污水处
理中心（南口镇西
部地区再生水厂）","北京市昌平区水务
局南口地区污水处
理中心（南口镇西
部地区再生水厂）",12110221686937454E002Q,0.5,63.98
84,北京市,市辖区,昌平区,"北七家镇未来科技
城南侧","北京市昌平区水务
局未来科技城再生
水处理中心","北京市昌平区水务
局未来科技城再生
水处理中心",12110221078598989Y001U,8,2518.4
85,北京市,市辖区,昌平区,"南邵镇京密引水渠
南100米","北京市昌平污水处
理中心","北京市昌平污水处
理中心",1211022175331862XY001V,5.4,1200
86,北京市,市辖区,丰台区,"花乡高立庄村公交
站向南800米院内","北京市丰台区供排
水管理所-花乡南
部污水处理站","北京久安建设投资
集团有限公司-花
乡南部污水处理站",12110106575243863C001Z,0.81,133.46
87,北京市,市辖区,丰台区,"宛平地区晓月西路
6号","北京市丰台区供排
水管理所-晓月苑
污水处理站","北京久安建设投资
集团有限公司-晓
月苑污水处理站",12110106575243863C002U,0.5,161.68
88,北京市,市辖区,通州区,马驹桥镇南小营村,"马驹桥镇南小营村
污水处理站","中通京潞水务有限
公司",91110112MA019TQT96003U,0.15,54.75
89,北京市,市辖区,通州区,宋庄镇管头村,"北京市通州区宋庄
镇管头村南污水处
理站","中通环境治理有限
公司",91110112MA018UQH89018U,0.2,73
90,北京市,市辖区,通州区,宋庄镇管头村,"管头村西污水处理
站","中通环境治理有限
公司",91110112MA018UQH89019U,0.15,54.75
91,北京市,市辖区,通州区,宋庄镇双埠头村,"双埠头村污水处理
站","中通环境治理有限
公司",91110112MA018UQH89017Q,0.07,25.55
92,北京市,市辖区,通州区,宋庄镇吴各庄村,吴各庄污水处理站,"中通环境治理有限
公司",91110112MA018UQH89016U,0.05,18.25
93,北京市,市辖区,通州区,宋庄镇辛店村,辛店村污水处理站,"中通京潞水务有限
公司",91110112MA019TQT96002U,0.2,73
94,北京市,市辖区,大兴区,"西红门镇经济技术
产业区中鼎北路东
头","北京轻纺服装产业
基地应急污水处理
站","北京市五连环投资
有限公司",911101157426068536001V,0.08,30
95,北京市,市辖区,房山区,阎村镇开古庄村东,"北京市阎村镇水处
理厂","北京市阎村镇水处
理厂",91110111792130822F001Z,0.3,133.74
96,北京市,市辖区,顺义区,"天竺镇天竺家园小
区西侧","首都机场西航空净
化站","北京首都国际机场
股份有限公司",91110000710925403T001X,2,750
97,北京市,市辖区,大兴区,"礼贤镇大兴国际机
场主干一路与W11
路交叉口","北京首都机场动力
能源有限公司","北京首都机场动力
能源有限公司",91110000783204578F002U,2,29.44
98,北京市,市辖区,顺义区,"首都机场T3航站楼
东1000米东航空净
化站","首都机场东航空净
化站","北京首都机场动力
能源有限公司东航
空净化站",91110000783204578F001X,8,297
99,北京市,市辖区,顺义区,彩俸小区南500米,"南彩彩俸小区污水
处理站","北京顺政排水有限
公司彩俸小区临时
污水处理厂",91110113MA008NEY0W005W,0.3,109.79
100,北京市,市辖区,顺义区,"杨镇三街木燕路红
绿灯南700米","汉石桥湿地污水处
理厂","北京顺政排水有限
公司汉石桥再生水
厂",91110113MA008NEY0W003Y,0.65,162.49
101,北京市,市辖区,顺义区,南法信南卷村东,马坡再生水厂,"北京顺政排水有限
公司马坡再生水厂",91110113MA008NEY0W001X,4,809.59
102,北京市,市辖区,顺义区,"高丽营镇于庄村南
500米","顺义新城温榆河水
资源利用工程","北京顺政排水有限
公司顺义新城温榆
河水资源利用工程",91110113MA008NEY0W002Q,2,804.41
103,北京市,市辖区,顺义区,杨镇庄吉路,杨镇再生水厂,"北京顺政排水有限
公司杨镇临时再生
水厂",91110113MA008NEY0W004Y,0.3,53.98
104,北京市,市辖区,顺义区,"天竺镇天柱东路20
号",天竺污水处理厂,"北京同晟水净化有
限公司北京天竺污
水处理厂",91110113783212893C001Y,2,911
105,北京市,市辖区,密云区,"溪翁庄镇密西路马
头山桥西200米路
北","北京万家水务有限
公司","北京万家水务有限
公司",91110228688366288F001Z,"0.3（近期申报
调整）",75.79
106,北京市,市辖区,海淀区,"马连洼街道树村西
路27号","北京肖家河污水处
理有限公司","北京肖家河污水处
理有限公司",91110108600375519N001Y,8,1393.4
107,北京市,市辖区,通州区,潞城镇南刘各庄村,河东再生水厂,"北京新城禹潞环保
科技有限责任公司",91110112580871709Y002U,4,1460
108,北京市,市辖区,通州区,台湖镇玉甫上营村,台湖污水处理厂,"北京新城禹潞环保
科技有限责任公司",91110112580871709Y001R,1,315.01
109,北京市,市辖区,通州区,梨园镇砖厂村,北京碧水再生水厂,"北京信通碧水再生
水有限公司",9111011275260566XU001V,18,6570
110,北京市,市辖区,大兴区,"榆垡镇榆泰东路1
号","北京兴科诚环保科
技有限公司(榆垡
污水处理厂)","北京兴科诚环保科
技有限公司",91110115330293715C001V,0.7,104.32
111,北京市,市辖区,大兴区,黄村镇刘村北,"北京市大兴区黄村
再生水厂","北京兴水水务有限
责任公司",9111011575525632X8001V,12,4106.93
112,北京市,市辖区,大兴区,"西红门镇宏业东路
中国影视大乐园北
300米",西红门再生水厂,"北京兴源水务有限
公司",911101153183023081001X,4,306.44
113,北京市,市辖区,房山区,"阎村镇阎富路1号
-D11","北京阎村龙人世纪
污水处理站","北京阎村龙人世纪
水处理有限公司",91110111599688007H001X,0.1,28
114,北京市,市辖区,房山区,燕山杏花东路5号,牛口峪污水处理厂,"北京燕山威立雅水
务有限责任公司
（牛口峪）",91110000784802502W002V,8.4,2685.03
115,北京市,市辖区,房山区,燕山杏花东路5号,星城污水处理厂,"北京燕山威立雅水
务有限责任公司
（星城）",91110000784802502W001V,0.6,126.44
116,北京市,市辖区,"北京经
济技术
开发区",经惠西路28号院,"北京亦庄水务有限
公司（东区污水处
理厂一期、二期、
提级改造工程）","北京亦庄水务有限
公司",911103026750530638001U,5,1868.87
117,北京市,市辖区,"北京经
济技术
开发区",路南区N41U1地块,"北京亦庄水务有限
公司（南区污水处
理厂）","北京亦庄水务有限
公司",911103026750530638002W,2,316.81
118,北京市,市辖区,通州区,张家湾镇姚辛庄村,张家湾再生水厂,"北京张家湾信通水
务科技有限责任公
司",911101123295707032001R,4,139.5
119,北京市,市辖区,大兴区,"庞各庄镇薛营村村
委会北800米","北京正泽水务有限
公司（庞各庄污水
处理厂）","北京正泽水务有限
公司",91110115MA01EQWC7U001U,1.1,309.08
120,北京市,市辖区,房山区,良乡镇南刘庄村,"良乡污水处理厂
（一二期）","北京中设水处理有
限公司",911101117423063323001U,8,3308.98
121,北京市,市辖区,丰台区,"王佐镇山湖路最南
端","北京中水国丰水务
有限责任公司-青
龙湖再生水厂","北京中水国丰水务
有限责任公司-青
龙湖再生水厂",91110106076592372D001X,1,22.59
122,北京市,市辖区,海淀区,"上庄路与沙阳路交
叉口往北200米路
东","上庄水循环代谢示
范项目","德威华泰科技股份
有限公司",91110108777652841R001U,0.5,141.87
123,北京市,市辖区,大兴区,"北臧村镇魏永路8
号","光大水务（北京）
有限公司","光大水务（北京）
有限公司",911101157916031654001Y,8,2512.41
124,北京市,市辖区,海淀区,上庄镇白水洼村,"白水洼村污水处理
站","海淀区上庄镇白水
洼村污水处理站",911101080592534165019U,0.06,14.02
125,北京市,市辖区,海淀区,上庄镇梅所屯村,"梅所屯村污水处理
站","海淀区上庄镇梅所
屯村污水处理站",911101080592534165021Q,0.075,19.17
126,北京市,市辖区,海淀区,"上庄镇上庄家园北
区","上庄小区北污水处
理站","海淀区上庄镇上庄
小区北污水处理站",911101080592534165028Q,0.15,27.03
127,北京市,市辖区,海淀区,"上庄镇上庄家园南
区","上庄小区南污水处
理站","海淀区上庄镇上庄
小区南污水处理站",911101080592534165029U,0.25,34.5
128,北京市,市辖区,海淀区,"上庄镇上庄一三队
污水处理站","上庄一三四队污水
处理站","海淀区上庄镇上庄
一三四队污水处理
站",911101080592534165033U,0.08,12.82
129,北京市,市辖区,海淀区,上庄镇双塔村,双塔村污水处理站,"海淀区上庄镇双塔
村污水处理站",911101080592534165025Q,0.06,12.97
130,北京市,市辖区,海淀区,上庄镇西玉河村,"西玉河村污水处理
站","海淀区上庄镇西玉
河污水处理站",911101080592534165026U,0.05,0.36
131,北京市,市辖区,海淀区,上庄镇皂甲屯村,皂甲屯污水处理站,"海淀区上庄镇皂甲
屯污水处理站",911101080592534165020U,0.085,14.75
132,北京市,市辖区,海淀区,苏家坨镇北安河村,"北安河村污水处理
站","海淀区苏家坨镇北
安河村污水处理站",911101080592534165027Q,0.09,6.05
133,北京市,市辖区,海淀区,苏家坨镇草厂村,草厂村污水处理站,"海淀区苏家坨镇草
厂村污水处理站",911101080592534165023Q,0.05,13.32
134,北京市,市辖区,海淀区,苏家坨镇车耳营村,"车耳营村污水处理
站","海淀区苏家坨镇车
耳营村污水处理站",911101080592534165024U,0.1,2.28
135,北京市,市辖区,海淀区,苏家坨镇柳林村,柳林村污水处理站,"海淀区苏家坨镇柳
林村污水处理站",911101080592534165022U,0.055,13.51
136,北京市,市辖区,海淀区,苏家坨镇聂各庄村,"聂各庄村污水处理
站","海淀区苏家坨镇聂
各庄村污水处理站",911101080592534165030Q,0.31,34.95
137,北京市,市辖区,海淀区,苏家坨镇西埠头村,"西埠头村污水处理
站","海淀区苏家坨镇西
埠头村污水处理站",911101080592534165018U,0.1,27.63
138,北京市,市辖区,海淀区,苏家坨镇周家巷村,"周家巷村污水处理
站","海淀区苏家坨镇周
家巷村污水处理站",911101080592534165031Q,0.06,4.44
139,北京市,市辖区,海淀区,西北旺镇韩家川村,韩家川污水处理站,"海淀区西北旺镇韩
家川污水处理站",911101080592534165032U,0.05,2.29
140,北京市,市辖区,通州区,台湖镇胡家垡村,"胡家垡村污水处理
站","北京首创清源环境
科技有限公司",91110108777674645Q028Q,0.07,25.55
141,北京市,市辖区,大兴区,魏善庄镇绿茵别墅,"绿茵别墅污水处理
站","中通和城水务（北
京）有限公司",91110115MA01B6207J003R,0.13,3.53
142,北京市,市辖区,大兴区,青云店镇工业区内,"北京净润水源环保
科技发展有限公司
—青云店污水处理","北京净润水源环保
科技发展有限公司",91320000795395762N001Y,0.12,22.38
143,北京市,市辖区,房山区,新镇,"中国原子能科学研
究院污水处理站","中国原子能科学研
究院",12100000400000309R001V,0.192,33.36
144,北京市,市辖区,昌平区,百善镇中心区以东,"中节能燕龙（北京）
水务有限公司-北
京市昌平区百善镇
再生水厂","中节能燕龙（北京）
水务有限公司-北
京市昌平区百善镇
再生水厂",911100000939254583001V,2,270.34
145,北京市,市辖区,昌平区,"马池口镇楼自庄小
学往西800米","中节能燕龙（北京）
水务有限公司-北
京市昌平区马池口
镇再生水厂","中节能燕龙（北京）
水务有限公司-北
京市昌平区马池口
再生水厂",911100000939254583004W,2.5,628.33
146,北京市,市辖区,昌平区,阳坊镇中心区东部,"中节能燕龙（北京）
水务有限公司-北
京市昌平区阳坊镇
北区再生水厂","中节能燕龙（北京）
水务有限公司-北
京市昌平区阳坊镇
北区再生水厂",911100000939254583002Y,0.63,157.93
147,北京市,市辖区,昌平区,"流村镇昌流路与南
流路交叉口东南","中节能燕龙（北京）
水务有限公司-北
京市昌平区流村镇
再生水厂","中节能燕龙（北京）
水务有限公司-北
京市昌平区流村镇
再生水厂",911100000939254583003Z,0.2,9.82
148,北京市,市辖区,昌平区,"小汤山镇后蔺沟村
北（小东流村西）","中节能燕龙（北京）
水务有限公司-北
京市昌平区小汤山
镇再生水厂","中节能燕龙（北京）
水务有限公司-北
京市昌平区小汤山
镇再生水厂",911100000939254583005V,7,604.26
149,北京市,市辖区,通州区,漷县镇觅子店组团,"漷县镇觅子店再生
水厂","中节能运龙（北京）
水务科技有限公司",91110112353013392W007R,0.1,21.05
150,北京市,市辖区,通州区,"潞城镇侉子店组团
中心村",潞城甘棠再生水厂,"中节能运龙（北京）
水务科技有限公司",91110112353013392W010Y,1,16.05
