省/直辖市,地市,Permit,单位名称,行业类别,有效期限,发证日期
四川省,凉山彝族自治州,915134255607020000001Q,会理市恒通源水务有限公司,污水处理及其再生利用,2024-06-19至2029-06-18,2024-06-19
四川省,凉山彝族自治州,91513424MA62H43TXF001Y,德昌县毅欣水务有限责任公司污水处理厂,污水处理及其再生利用,2024-06-28至2029-06-27,2024-06-19
安徽省,淮南市,91341521567523451D004Q,寿县农业发展投资有限公司,污水处理及其再生利用,2023-07-19至2028-07-18,2023-07-19
安徽省,淮南市,91341521567523451D003Q,寿县农业发展投资有限公司,污水处理及其再生利用,2023-07-19至2028-07-18,2023-07-19
广东省,东莞市,914419005883499150023V,东莞市石碣沙腰污水处理厂提标工程（一期）（东莞市石鼓净水有限公司）,污水处理及其再生利用,2024-06-18至2029-06-17,2024-06-18
吉林省,延边朝鲜族自治州,91222400795236286M002R,延边朝鲜族食品产业园区开发有限公司,污水处理及其再生利用,2021-06-24至2025-06-23,2021-06-24
河南省,洛阳市,91410307MA9FRXK523006U,洛阳市龙鼎农业投资发展有限公司焦寨污水处理站,污水处理及其再生利用,2024-03-22至2029-03-21,2024-03-22
河南省,洛阳市,91410307MA9FRXK523001R,洛阳市龙鼎农业投资发展有限公司夏庄污水处理站,污水处理及其再生利用,2024-03-22至2029-03-21,2024-03-22
河南省,洛阳市,91410307MA9FRXK523002Q,洛阳市龙鼎农业投资发展有限公司溢坡污水处理站,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
河南省,洛阳市,91410307MA9FRXK523005R,洛阳市龙鼎农业投资发展有限公司杨村污水处理站,污水处理及其再生利用,2024-03-22至2029-03-21,2024-03-22
河南省,洛阳市,91410307MA9FRXK523003R,洛阳市龙鼎农业投资发展有限公司齐村污水处理站,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
安徽省,滁州市,91341126MA8N126YXX006U,大庙镇污水处理厂,污水处理及其再生利用,2021-12-02至2026-12-01,2021-12-02
安徽省,滁州市,91341126MA8N126YXX007Q,刘府镇生活污水处理厂,污水处理及其再生利用,2021-12-02至2026-12-01,2021-12-02
安徽省,滁州市,91341126MA8N126YXX005Q,官塘镇污水处理厂,污水处理及其再生利用,2021-12-02至2026-12-01,2021-12-02
安徽省,滁州市,54341126758531139M001Q,小岗污水处理厂,污水处理及其再生利用,2022-03-08至2027-03-07,2022-03-08
安徽省,滁州市,91341126MA8N126YXX004Q,武店污水处理厂,污水处理及其再生利用,2021-12-02至2026-12-01,2021-12-02
安徽省,滁州市,91341126MA8N126YXX001Q,红心镇污水处理厂,污水处理及其再生利用,2021-12-02至2026-12-01,2021-12-02
安徽省,滁州市,11341126003221052H001U,凤阳县枣巷镇人民政府,污水处理及其再生利用,2023-11-08至2028-11-07,2023-11-08
甘肃省,定西市,91621102MA7311B861001R,内官营镇污水处理厂,污水处理及其再生利用,2023-07-14至2028-07-13,2023-07-14
四川省,广元市,91510822565651185D001Q,四川能投青川水务投资有限公司青川县污水处理厂,污水处理及其再生利用,2022-07-02至2027-07-01,2022-05-30
云南省,西双版纳傣族自治州,91532823582361729N001W,勐腊县给排水有限责任公司,污水处理及其再生利用,2024-06-18至2029-06-17,2024-06-18
四川省,广元市,91510821735860802B002U,旺苍县普济镇污水处理厂,污水处理及其再生利用,2024-06-18至2029-06-17,2024-06-18
四川省,成都市,91510112669690664W001X,成都天源龙泉水务有限责任公司(龙泉驿区西河污水处理厂),污水处理及其再生利用,2022-07-02至2027-07-01,2022-04-25
安徽省,淮南市,91340421MA2WA40G6F001U,凤台县州来环保科技有限公司新集污水处理厂,污水处理及其再生利用,2022-11-22至2027-11-21,2022-11-22
安徽省,合肥市,9134000071177511XW101V,钟油坊污水处理厂,污水处理及其再生利用,2022-11-04至2027-11-03,2022-11-04
四川省,眉山市,91511421MA64GYX87H013U,龙正镇污水处理厂（仁寿首创水务有限公司）,污水处理及其再生利用,2020-01-10至2025-01-09,2020-01-10
天津市,市辖区,911202223003677879003R,天津安禹水利工程有限公司（曹子里镇污水处理厂）,污水处理及其再生利用,2024-06-17至2029-06-16,2024-06-17
吉林省,通化市,91220501MA14W4673D001C,通化市碧水源环保科技有限公司,污水处理及其再生利用,2022-09-05至2027-09-04,2022-03-23
重庆市,市辖区,91500000MAACDHN266003V,重庆水务集团龙兴排水有限公司（三峡水务水土污水厂）,污水处理及其再生利用,2021-12-20至2026-12-19,2021-11-30
江苏省,徐州市,91320322MA1MU1H11P015Q,沛县兴蓉水务发展有限公司(栖山镇污水处理厂),污水处理及其再生利用,2024-06-17至2029-06-16,2024-06-17
江苏省,徐州市,91320322MA1MU1H11P027Q,沛县兴蓉水务发展有限公司(张庄镇污水处理厂),污水处理及其再生利用,2024-06-17至2029-06-16,2024-06-17
江苏省,徐州市,91320322MA1MU1H11P021U,沛县兴蓉水务发展有限公司(安国镇污水处理厂),污水处理及其再生利用,2024-06-17至2029-06-16,2024-06-17
江苏省,徐州市,91320322MA1MU1H11P022Q,沛县兴蓉水务发展有限公司（魏庙镇污水处理厂）,污水处理及其再生利用,2024-06-17至2029-06-16,2024-06-17
安徽省,宣城市,91341823551841412A001U,泾县象山污水处理有限公司,污水处理及其再生利用,2024-06-17至2029-06-16,2024-06-17
安徽省,宣城市,91341881578510648L002V,安徽省宁国众益新型城镇化建设有限公司(深度除氟站),污水处理及其再生利用,2024-06-17至2029-06-16,2024-06-17
安徽省,合肥市,91340111MA8NGETTX2024V,合肥市水务环境建设投资有限公司合肥运营分公司经济开区污水处理厂一二三期?,污水处理及其再生利用,2021-12-20至2026-12-19,2021-09-20
云南省,昆明市,91530102MAC1EL6B11006V,昆明渝润水务有限公司（昆明市第十三水质净化厂）,污水处理及其再生利用,2024-06-14至2029-06-13,2024-06-14
浙江省,温州市,91330381307739248X001C,瑞安市华邦印染产业园有限公司,污水处理及其再生利用,2024-06-14至2029-06-13,2024-06-14
辽宁省,营口市,91210881MAC99F445R001V,盖州市连合污水处理厂,污水处理及其再生利用,2024-06-14至2029-06-13,2024-06-14
青海省,海西蒙古族藏族自治州,91632824MA758Y8G29003U,青海天普伟业环保科技有限公司大柴旦分公司（大柴旦锡铁山镇污水处理厂）,污水处理及其再生利用,2024-06-14至2029-06-13,2024-06-14
江苏省,常州市,91320400681145765J003Q,江苏大禹水务有限公司湟里污水处理厂,污水处理及其再生利用,2024-06-14至2029-06-13,2024-06-14
江苏省,常州市,91320400681145765J005V,江苏大禹水务有限公司滨湖污水处理厂,污水处理及其再生利用,2024-06-14至2029-06-13,2024-06-14
安徽省,宣城市,91340100738918475T008V,安徽亚泰环境工程技术有限公司（旌德运营部）,污水处理及其再生利用,2024-06-14至2029-06-13,2024-06-14
四川省,资阳市,91512000756627903Y002U,资阳海天水务有限公司（雁江区沱东污水处理厂）,污水处理及其再生利用,2024-06-14至2029-06-13,2024-06-14
安徽省,宣城市,91341800683639363D001Q,宣城富春紫光污水处理有限公司,污水处理及其再生利用,2024-05-31至2029-05-30,2024-05-31
广东省,东莞市,12441900791196686P001V,长安镇红花坑渗滤液生化处理站（东莞市长安镇公用事业服务中心）,污水处理及其再生利用,2024-06-14至2029-06-13,2024-06-14
山东省,潍坊市,913707245766083182001C,临朐荣怀污水处理有限公司,污水处理及其再生利用,2024-06-13至2029-06-12,2024-06-13
天津市,市辖区,91120225MA06A4C207001V,天津鸿昇投资管理集团有限公司,污水处理及其再生利用,2024-06-13至2029-06-12,2024-06-13
广东省,东莞市,91441900MADAGK87XT001V,东莞市横沥东坑合建污水处理厂二期（东莞市石鼓净水有限公司横沥分公司）,污水处理及其再生利用,2024-06-13至2029-06-12,2024-06-13
山东省,滨州市,91371624MA954NN097001U,滨州市沾化区逢嘉污水处理有限公司,污水处理及其再生利用,2024-06-13至2029-06-12,2024-06-13
浙江省,宁波市,91330206726387291X004Q,宁波北仑岩东水务有限公司岩东污水处理厂,污水处理及其再生利用,2024-06-13至2029-06-12,2024-06-13
广东省,佛山市,91440600766554031M001C,佛山市汇之源驿岗污水处理有限公司,污水处理及其再生利用,2022-05-22至2027-05-21,2022-05-20
安徽省,合肥市,91340111MA8NGETTX2023V,合肥市望塘污水处理厂,污水处理及其再生利用,2021-12-20至2026-12-19,2021-08-18
安徽省,马鞍山市,91340522MA2NRLU90T001R,含山县华骐环境治理有限公司,污水处理及其再生利用,2024-06-13至2029-06-12,2024-06-13
广东省,东莞市,91441900MA542CKK48001V,东莞市高埗镇污水处理厂二期工程（东莞市石鼓净水有限公司高埗分公司）,污水处理及其再生利用,2024-06-13至2029-06-12,2024-06-13
山东省,泰安市,91370900778440170Q001Z,新泰信环水处理有限公司（新泰污水处理厂）,污水处理及其再生利用,2024-06-13至2029-06-12,2024-06-13
山东省,泰安市,91370900778440170Q002V,新泰信环水处理有限公司(新汶污水处理厂）,污水处理及其再生利用,2024-06-13至2029-06-12,2024-06-13
安徽省,马鞍山市,91340100MA2MQM5N2X002U,马鞍山市博望区新市集镇污水处理站（安徽世绿环保科技有限公司）,污水处理及其再生利用,2024-04-07至2029-04-06,2024-04-07
山东省,菏泽市,91371725MA3CL26A30001V,山东世安环保工程有限公司,污水处理及其再生利用,2024-06-12至2029-06-11,2024-06-12
重庆市,市辖区,91500101096298955W003V,重庆万州经开物业管理有限公司（新田园污水处理厂）,污水处理及其再生利用,2023-11-29至2028-11-28,2023-11-29
重庆市,市辖区,91500101096298955W004V,重庆万州经开物业管理有限公司（高峰园污水处理厂）,污水处理及其再生利用,2022-05-31至2027-05-30,2022-05-13
重庆市,市辖区,91500101096298955W001V,重庆万州经开物业管理有限公司（九龙园污水处理厂）,污水处理及其再生利用,2022-07-05至2027-07-04,2022-06-17
重庆市,市辖区,91500101096298955W002V,重庆万州经开物业管理有限公司（天子园污水处理厂）,污水处理及其再生利用,2022-07-05至2027-07-04,2022-06-17
安徽省,合肥市,91340100MA2NL3YW2K001Z,合肥市于湾污水处理厂,污水处理及其再生利用,2022-06-27至2027-06-26,2022-04-12
山西省,朔州市,91140600MA0GRBHQXA001C,华电水务朔州有限公司,污水处理及其再生利用,2022-06-28至2027-06-27,2022-05-18
安徽省,滁州市,91341100675859884R001C,凯发污水处理（明光）有限公司,污水处理及其再生利用,2024-07-10至2029-07-09,2024-06-12
四川省,遂宁市,91510900MA68WA6T2Q046R,遂宁川能水务有限公司（蓬溪县三凤镇场镇污水处理站）,污水处理及其再生利用,2022-11-25至2027-11-24,2022-11-25
内蒙古自治区,通辽市,91150524MA0QQTPHX6001Q,库伦旗乾清环保工程有限公司,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
四川省,遂宁市,91510900MA68WA6T2Q047R,遂宁川能水务有限公司（蓬南污水处理厂）,污水处理及其再生利用,2022-09-20至2027-09-19,2022-11-29
陕西省,汉中市,916107005735118950001C,桑德汉中洋县水务有限公司,污水处理及其再生利用,2024-06-12至2029-06-11,2024-06-12
辽宁省,葫芦岛市,12211422692674179M001V,建昌县污水管理处,污水处理及其再生利用,2022-08-23至2027-08-22,2022-06-12
安徽省,马鞍山市,91340522069112203F001Q,含山县清溪城市建设投资有限公司,污水处理及其再生利用,2024-06-12至2029-06-11,2024-06-12
广西壮族自治区,南宁市,91450000692754275X002Q,广西华都环境投资集团有限公司金陵镇污水处理厂,污水处理及其再生利用,2024-06-06至2029-06-05,2024-06-06
安徽省,合肥市,9134000071177511XW116V,安徽省肥东县撮镇镇污水处理厂,污水处理及其再生利用,2019-08-19至2024-08-18,2019-08-19
河南省,濮阳市,91410928MA44YQ8PXE001V,濮阳德康水务有限公司,污水处理及其再生利用,2021-07-13至2026-07-12,2021-07-13
湖南省,衡阳市,91430422MA4R18NQ5E009W,衡南县湘建泓泰环保有限责任公司茶市厂区,污水处理及其再生利用,2024-01-15至2029-01-14,2024-01-15
湖南省,衡阳市,91430422MA4R18NQ5E029U,衡南县湘建泓泰环保有限责任公司江口镇污水处理厂,污水处理及其再生利用,2024-01-15至2029-01-14,2024-01-15
湖南省,衡阳市,91430422MA4R18NQ5E010Y,衡南县向阳桥街道污水处理厂,污水处理及其再生利用,2024-01-16至2029-01-15,2024-01-16
辽宁省,锦州市,12210781MB176220X8003V,凌海金城城镇污水处理厂,污水处理及其再生利用,2022-07-19至2027-07-18,2022-07-19
河北省,秦皇岛市,91130304MA0EY82K3H001V,秦皇岛秦东水务有限公司,污水处理及其再生利用,2024-06-12至2029-06-11,2024-06-12
重庆市,县,91500242MA7NGMQU95001Z,酉阳县美池生态环境建设有限责任公司,污水处理及其再生利用,2024-03-29至2029-03-28,2024-03-29
北京市,市辖区,911100001014252864002V,北京城市排水集团有限责任公司定福庄再生水厂,污水处理及其再生利用,2024-06-12至2029-06-11,2024-06-12
江西省,吉安市,91360824550854801E001U,江西洪城水业环保有限公司新干分公司,污水处理及其再生利用,2024-06-28至2029-06-27,2024-06-07
四川省,达州市,915117023144798355001V,达州桑德水务有限公司(达州市通川区魏兴场镇污水处理厂),污水处理及其再生利用,2024-06-12至2029-06-11,2024-06-12
重庆市,市辖区,91500000MAACDHN266002V,重庆水务集团龙兴排水有限公司（果园污水处理厂）,污水处理及其再生利用,2021-12-20至2026-12-19,2021-10-08
河北省,唐山市,91130221MA0DHE1064002V,唐山市唐排润丰水净化有限公司,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
天津市,市辖区,91120221559490071F001Y,天津津宁创环水务有限公司,污水处理及其再生利用,2024-06-12至2029-06-11,2024-06-12
山东省,泰安市,91370982MA3ME80G1H001V,新泰清源水务有限公司,污水处理及其再生利用,2021-06-01至2026-05-31,2021-06-01
山东省,泰安市,913709820817658054001Q,新泰碧清水务有限公司,污水处理及其再生利用,2023-08-01至2028-07-31,2023-07-28
新疆维吾尔自治区,巴音郭楞蒙古自治州,91652824MA776AX14L001C,若羌县昆仑绿洁污水处理有限责任公司,污水处理及其再生利用,2022-06-13至2027-06-12,2022-03-24
广东省,韶关市,91440200680559990Y004V,韶关水投蓝洁环保科技有限公司（第四污水厂）,污水处理及其再生利用,2022-06-25至2027-06-24,2022-04-24
山西省,运城市,9114080034689411XB002R,运城首创水务有限公司（城西污水处理厂）,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
云南省,玉溪市,91530400MA6KKE3L4R001Q,华宁北控环保水务有限公司,污水处理及其再生利用,2023-12-14至2028-12-13,2023-12-14
陕西省,榆林市,116108020160829280008Y,榆林市榆阳区住房和城乡建设局（鱼河镇污水处理站）,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
陕西省,榆林市,116108020160829280009X,榆阳区住房和城乡建设局（镇川镇污水处理厂）,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
陕西省,榆林市,116108020160829280019Q,榆林市榆阳区住房和城乡建设局（巴拉素镇污水处理工程）,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
浙江省,杭州市,913301855526849575001V,杭州临安原野污水处理有限公司,污水处理及其再生利用,2022-04-09至2027-04-08,2022-04-06
安徽省,淮南市,12340403MB1E784356001U,淮南现代产业园区污水处理站,污水处理及其再生利用,2023-02-28至2028-02-27,2023-02-06
内蒙古自治区,锡林郭勒盟,91152524116210018K001Q,苏尼特右旗赛汉塔拉镇污水处理厂,污水处理及其再生利用,2022-07-01至2027-06-30,2022-05-26
黑龙江省,鸡西市,12230300414088460Y001V,黑龙江省鸡西市鸡冠区污水处理厂三期,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
安徽省,滁州市,91341126MA2U1HTE95001V,凤阳明中都水务集团有限公司,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
吉林省,白城市,91220882MAC7PA6R8R001V,大安市松嫩水务有限公司,污水处理及其再生利用,2022-06-20至2027-06-19,2022-06-20
浙江省,温州市,91330324795552051P001Z,永嘉县伟明污水处理有限公司,污水处理及其再生利用,2024-05-31至2029-05-30,2024-05-31
江苏省,连云港市,91320723765893752C001Q,灌云县南风污水处理有限公司,污水处理及其再生利用,2022-05-06至2027-05-05,2022-05-06
广西壮族自治区,防城港市,914506816877576235002V,广西东兴北投环保水务有限公司,污水处理及其再生利用,2022-08-02至2027-08-01,2022-06-03
广西壮族自治区,防城港市,914506816877576235001U,广西东兴北投环保水务有限公司,污水处理及其再生利用,2022-08-02至2027-08-01,2022-05-13
四川省,遂宁市,91510900553478864P001R,遂宁富禹工业废水处理有限公司,污水处理及其再生利用,2021-05-14至2026-05-13,2021-05-14
广东省,广州市,9144011323130145XN001V,广州中远海运净海环保科技有限公司,污水处理及其再生利用,2024-01-09至2029-01-08,2024-01-09
河南省,三门峡市,91411282071373808G001U,葛洲坝水务（灵宝）有限公司,污水处理及其再生利用,2024-06-17至2029-06-16,2024-06-11
河南省,三门峡市,91411282097059198F001X,灵宝市豫源清污水处理有限公司,污水处理及其再生利用,2024-06-17至2029-06-16,2024-06-11
河南省,三门峡市,91411282326773847J001W,灵宝市诚志污水处理有限公司,污水处理及其再生利用,2024-06-17至2029-06-16,2024-06-11
山东省,滨州市,91371624310355376A001V,滨州颐辰污水处理有限公司,污水处理及其再生利用,2024-03-07至2029-03-06,2024-03-07
新疆维吾尔自治区,喀什地区,916531272301805612001Z,麦盖提县思源水务有限责任公司,污水处理及其再生利用,2024-06-28至2029-06-27,2024-06-28
云南省,西双版纳傣族自治州,91532822560086279C001Q,勐海水务产业有限公司,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
重庆市,市辖区,915001166608953643001Z,重庆近贤房地产开发有限公司,污水处理及其再生利用,2024-01-11至2029-01-10,2024-01-11
重庆市,市辖区,91500116MA607F6Q8Y008V,重庆水务集团江津自来水有限公司（中渡污水处理厂）,污水处理及其再生利用,2019-08-28至2024-08-27,2019-08-28
重庆市,市辖区,91500116MA607F6Q8Y007V,重庆水务集团江津自来水有限公司（几江污水处理厂）,污水处理及其再生利用,2019-06-27至2024-06-26,2019-06-26
山东省,威海市,91371083584504033G001X,乳山康达水务有限公司一厂,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
广东省,清远市,91441802MAC5QRAN0R001V,清远市广源环保有限公司,污水处理及其再生利用,2023-12-11至2028-12-10,2023-12-11
山东省,德州市,913714253284651862051U,齐河水务发展有限公司焦庙污水处理站,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
广西壮族自治区,南宁市,91450000791346584E003Z,广西绿城水务股份有限公司江南水质净化厂,污水处理及其再生利用,2024-06-04至2029-06-03,2024-06-04
四川省,遂宁市,91510903MA62634D2Y001V,遂宁国润排水有限公司,污水处理及其再生利用,2021-07-02至2026-07-01,2019-07-01
广西壮族自治区,南宁市,91450127MA5PWJAQ19007U,广西环投航凯宝华水务有限公司平马镇污水处理厂,污水处理及其再生利用,2024-06-06至2029-06-05,2024-06-06
湖南省,娄底市,91431382MABTN4CP0W007U,湖南湘环涟水环境综合治理有限公司(涟源市七星街镇污水处理厂),污水处理及其再生利用,2024-01-16至2029-01-15,2024-01-16
山西省,晋城市,91140521MA0HLGMU65001R,沁水县沁洁污水处理有限公司,污水处理及其再生利用,2022-10-19至2027-10-18,2022-10-19
广西壮族自治区,南宁市,91450127MA5PWJAQ19006Q,广西环投航凯宝华水务有限公司云表镇污水处理厂,污水处理及其再生利用,2024-06-05至2029-06-04,2024-06-05
河北省,保定市,91130607MA07W8B34G001R,保定市中环嘉诚污水处理有限公司,污水处理及其再生利用,2021-04-12至2026-04-11,2022-11-14
安徽省,阜阳市,91341200737344705T001V,阜阳市排水有限责任公司泉北污水处理厂,污水处理及其再生利用,2024-06-07至2029-06-06,2024-06-07
山西省,临汾市,11140931012841528Y001Q,乡宁县台头镇污水处理站,污水处理及其再生利用,2021-12-29至2026-12-28,2021-12-29
浙江省,温州市,91330328693600593X003Q,百丈漈污水处理厂,污水处理及其再生利用,2022-08-30至2027-08-29,2022-06-08
安徽省,宣城市,91341800348691762A001V,宣城新塘羽绒园建设投资有限公司,污水处理及其再生利用,2021-03-03至2026-03-02,2021-03-03
安徽省,宣城市,91341822674221686X001Y,安徽广顺环保工程水务有限公司,污水处理及其再生利用,2024-06-11至2029-06-10,2024-06-11
黑龙江省,哈尔滨市,91230111MA1AXHR300001R,哈尔滨市兰城龙江环保水务有限公司-1,污水处理及其再生利用,2024-04-28至2029-04-27,2024-04-28
黑龙江省,哈尔滨市,H9230100000000009Z001Q,哈尔滨市兰城龙江环保水务有限公司,污水处理及其再生利用,2023-11-20至2028-11-19,2023-11-20
